id,question,answer
3691,What was the 2008 European Athletics Indoor Cup held on 16 February 2008?,"the CSKA Universal Sports Hall in Moscow, Russia"
3692,What is the name of the main railway station within the city?,Esztergom
3693,"What does the term ""ultra-left"" refer to?",political theory and practice
3694,What are members of the Peltula genus called?,rock-olive lichens
3695,When was the list of National Register properties and districts created?,"March 5, 2021"
3696,What was the job title of William Henry Robinson?,New Zealand scientist and seismic engineer
3697,What county is Orange an unincorporated community in?,Delaware County
3698,Who was hired to replace the coach at the end of the 1966 season?,Kelly
3699,What is Shazi Visram?,"an American entrepreneur, investor, and philanthropist"
3700,What type of engines did the Class 57 diesel locomotives use?,EMD
3701,What is the Galagete krameri?,moth in the family Autostichidae
3702,What is the name of the single that was the band's only hit single?,If I Am
3703,How many teams are in the top division?,8
3704,How many municipalities are in Bern?,36
3705,What language family is Guaraní a part of?,Tupí
3706,What haplogroup is found more in southern Europe than in northern Europe?,G-M406
3707,What was the number of teams in the second Scottish League Cup final?,14
3708,Where is Inkolonie located?,the border with Togo
3709,What was the occupation of the uncle of Edward Charles Thomson?,banker
3710,Who was the count of the Ardennes?,Sigfried
3711,Who created and administered the Green Lantern Corps?,John Broome and Gil Kane
3712,What was the title of the movie produced in 1934?,Le Grand Jeu
3713,Who was voiced by Claudia Black in Dragon Age: Inquisition?,Morrigan
3714,What constituency is Sri Gading in?,Batu Pahat District
3715,What was the name of the Paint Branch school before becoming a university?,Paint Branch High School
3716,What is the main advantage of using a disk-over-water method?,The disk-over-water method is a technique for causing sleep deprivation in laboratory animals
3717,What kind of college is Barpeta Girls' College?,undergraduate
3718,Who was the head of the Augustinian monastic community in Inchcolm?,the Abbot of Inchcolm
3719,What did Otto Toeplitz propose in 1927?,method of teaching mathematics
3720,Which committee oversees the Intelligence Program of the President?,The Homeland Security Subcommittee on Intelligence and Counterterrorism
3721,What is the threatened species of the Chinamococh stream frog?,habitat loss
3722,How many copies did the album sell in its first week of release?,11000
3723,How many people watched the second episode of NCIS?,18.87 million
3724,What position did Symington hold with the Australian Psychoanalytical Society?,President
3725,What was the name of the song that was covered by Danny Brown in 2013?,Clean Up
3726,Where is the Blue Grass Airport located?,"Lexington, Kentucky"
3727,What was the date of her death?,"January 27, 1738"
3728,Where is Lake Viking located?,"Daviess County, Missouri"
3729,What is the name of the single that was released on the Billboard Hot 100 chart?,Baby Boy
3730,What was the occupation of Herbert Werner Quandt?,industrialist
3731,What did Albert establish that is not supported by current census data?,separate farm
3732,What is the population of the territory?,"5,434 (2011)"
3733,What is the largest insect family?,Hesperiidae
3734,What is the official mascot for the Philadelphia Phillies Major League Baseball team?,The Phillie Phanatic
3735,What does the Johns Hopkins University/Johns Hopkins University Foundation give money to?,research for her company's genetics
3736,Who was the manager of Eire in 1994?,Roy Hodgson
3737,When did Delgado start working on his comic book series?,early 2000
3738,What art collection at OHSU is one of the largest in the country?,OHSU Collection
3739,When was the property ladder first used?,1941
3740,What sport does Kelly Vollebregt play?,handball
3741,What is the largest hydro power plant in Armenia?,The Shnokh Hydro Power Plant
3742,What was the name of the US Navy ship that was named after an officer of the Chauncey family?,USS Chauncey
3743,How long has the Shark been flown without an engine stopping?,"5,000 km"
3744,What was the main party that controlled the council in 2011?,Conservative
3745,What is an example of a cultural icon of fur regions?,Trappers' cabins
3746,What was the name of the ship that was under construction?,HMS Lavinia
3747,Who wrote the script for Dheevaanaa?,Keeshaan and Sachin Tendulkar
3748,What can be used to limit the range of possible positive or negative returns on an asset?,collar strategy
3749,What is a plastic or glass case used for?,to display objects for viewing
3750,What's the occupation of Karen L. Ishizuka?,curator
3751,A sequence of instructions or sets of instructions is called what?,Path Computation Element
3752,When was Butterstone House Preparatory School merged with Kilgraston School?,2003
3753,What is the name of the American cosmetic company founded by Ivan Combe?,Combe Incorporated
3754,The mesenteric vein drains blood from the large intestine to form what?,the portal vein
3755,How many teams competed in the 1949 Victorian Football League season?,12
3756,How many zones receive more than 40% of the national ridership of buses?,3
3757,What is the main cause of the disease in barley?,fungus Rhynchosporium
3758,"Who wrote ""The Night That All Time Broke Out""",Brian W. Aldiss
3759,When was the third Cassius album released?,September 2006
3760,What Microsoft development tool is used to help develop products for the Win32 platform?,Visual Studio
3761,What company is known for its sneakers?,Bear Archery
3762,For what crime was Spenkelink convicted?,murder
3763,What is the name of the extinct giant flightless terror bird that lived in South America during the Miocene epoch?,Phorusrhacos
3764,What is the birth rate of the population of Collenberg?,"1.8 births per 1,000"
3765,"Who wrote and published ""The Year of the Hangman""?",Gary Blackwood
3766,When was Good Ol' Boys released?,August 1994
3767,What was the first job of Harry Lee?,photojournalist
3768,Which Dutch motorcycle racer won the 2005 MotoGP World Championship in the 125cc category?,Tim Alfa Coronel
3769,Where is Minneapolis the center of?,Minnesota
3770,What does the name Albertavenator mean?,Alberta hunter
3771,Who made the decision to release the software to the public?,Dr. Stuart Ferguson
3772,What is the name of the artist of the memoir?,Bill Hayes
3773,What position did Rosenberg previously hold at La Trobe University?,Senior Deputy Vice-Chancellor and Vice-President
3774,"Who wrote ""It's Just a Matter of Time""?","Brook Benton, Clyde Otis, and Belford Hendricks"
3775,What department store is located on the Henry Street site?,Arnotts
3776,What position did Widdifield hold in the government of Ontario?,Liberal member
3777,"Who wrote ""Oklahoma Indian Jazz""?","Ray Hibbler, T.J. Johnsen, J.W. Barna, J.J. Murrin, and T. Guarini"
3778,"What is the name of the bridge that crosses the Little Missouri River between Clark County, Arkansas and Nevada County, Arkansas?",The Little Missouri River Bridge
3779,What is the processing of email to organize it according to?,specified criteria
3780,Where was the 2013 CSIO Gijón held?,Las Mestas Sports Complex in Gijón
3781,Which mountain did Eric Larsen reach in the first place?,Mount Everest
3782,What was the name of the BBC drama series that first aired in September 2009?,The Cut
3783,In which county is Van Buren located?,"Aroostook County, Maine"
3784,What statement was signed in 2005 by 44 governments from Europe and North Asia?,St. Petersburg FLEG Ministerial Declaration
3785,What was the name of DeWolfe's company?,Myspace
3786,"What type of geographical position gives Egypt's foreign policy a degree of influence in the Middle East, Africa, and within the Non-Aligned Movement?",strategic geographical position
3787,Who was the aviation pioneer and Conservative politician?,John Moore-Brabazon
3788,What is the common name for the seas around the globe?,Stromatidae
3789,When was the Human Adventure released?,1980
3790,What type of annual plant is the palm?,Pectis tenuicaulis
3791,Who first described Rifargia distinguenda?,Francis Walker
3792,How many medals have the Belgian men's national ice hockey team won?,2
3793,Where is the Williamson County Jail located?,"Georgetown, Texas"
3794,What is the population of the city?,5240
3795,How many parts does the Mesoamerican Biological Corridor make up?,4
3796,In what movie is the John Wayne movie often shown?,Sam Houston version
3797,What cleric was killed during a protest demonstration?,Effat
3798,What village is Peter Tavy located in?,Devon
3799,What is the name of the PGA golf tournament that takes place annually in Connecticut?,The Connecticut PGA Championship
3800,What was the name of the team that won the 2005-06 Meistriliiga season?,HK Stars Tallinn
3801,How many times was Hopkin Davies capped for the Wales international team?,4
